"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"76413",571428.78390128,7896580.4567412,2010-03-11 08:20:00,-41.8990014245501,156.402258533053,161.917240572505,1200,1136197801.05842,1.83254287504663,0.878556958102991
"76414",571386.884899855,7896736.85899973,2010-03-11 08:40:00,-244.492350553977,620.949298029765,667.348889414725,1200,1143271209.41542,1.94589421542153,0.113351340374901
"76415",571142.392549301,7897357.80829776,2010-03-11 09:00:00,-0.601493965252303,122.246995675378,122.248475436899,1200,1176676289.8302,1.57571660404212,-0.370177611379409
"76416",571141.791055336,7897480.05529344,2010-03-11 09:20:00,6.54805690655485,143.608137054369,143.757344429695,1200,1180429112.73536,1.52523118848757,-0.0504854155545538
"76417",571148.339112243,7897623.66343049,2010-03-11 09:40:00,-14.9625520841219,7.03656486049294,16.5345459540316,1200,1184429277.26774,2.70200377283415,1.17677258434658
"76418",571133.376560158,7897630.69999535,2010-03-11 10:00:00,-148.75581034075,100.528564490378,179.539085963556,1200,1185567301.57079,2.54729642355215,-0.154707349281997
"76419",570984.620749818,7897731.22855984,2010-03-11 10:20:00,-11.0046060014283,6.12051361426711,12.5921420000372,1200,1197858553.78558,2.63401905967433,0.086722636122178
"76420",570973.616143816,7897737.34907345,2010-03-11 10:40:00,-79.6792081625899,50.0594355948269,94.0995393479159,1200,1198729541.20272,2.58065091637573,-0.053368143298596
"76421",570893.936935654,7897787.40850905,2010-03-11 11:00:00,-152.532487253891,-158.583435902372,220.033783338969,1200,1205224197.41764,-2.33674776501311,1.36578662579075
"76422",570741.4044484,7897628.82507315,2010-03-11 11:20:00,-6.35654087970033,-10.3319636899978,12.1307495912963,1200,1209801897.93961,-2.12233963722036,0.214408127792745
"76423",570735.04790752,7897618.49310946,2010-03-11 11:40:00,-14.8340067924,-15.4771472942084,21.4380466900227,1200,1209880096.53814,-2.33497972509972,-0.212640087879364
"76424",570720.213900728,7897603.01596216,2010-03-11 12:00:00,-1.4068544828333,-4.0468325689435,4.28440116900017,1200,1210329276.09947,-1.90537015133821,0.429609573761517
"76425",570718.807046245,7897598.96912959,2010-03-11 12:20:00,-0.212121529271826,0.676916205324233,0.70937373239441,1200,1210292598.48042,1.87446861671601,-2.50334653912537
"76426",570718.594924716,7897599.6460458,2010-03-11 12:40:00,-1.38879241724499,0.680305509828031,1.54646692977883,1200,1210326657.02703,2.68609474595779,0.811626129241779
"76427",570717.206132298,7897600.32635131,2010-03-11 13:00:00,-1.93138068157714,-1.11798811517656,2.23162021026101,1200,1210434261.5079,-2.61686654969221,0.980224011529586
"76428",570715.274751617,7897599.20836319,2010-03-11 13:20:00,-72.0156533865957,10.1797913173214,72.7315783134293,1200,1210520426.1526,3.00116775390441,-0.665151003582965
"76429",570643.25909823,7897609.38815451,2010-03-11 13:40:00,-15.9835813520476,-92.2412495249882,93.6158265827348,1200,1215333953.29143,-1.74237280261361,1.53964475066157
"76430",570627.275516878,7897517.14690499,2010-03-11 14:00:00,-4.01654359244276,-70.6758910873905,70.7899300990379,1200,1213503818.55796,-1.62756572597441,0.114807076639192
"76431",570623.258973286,7897446.4710139,2010-03-11 14:20:00,-2.68004844803363,-0.664772185496986,2.76126451873375,1200,1211598114.17032,-2.89845498694966,-1.27088926097524
"76432",570620.578924838,7897445.80624171,2010-03-11 14:40:00,2.42235485219862,-38.7320634359494,38.8077381592432,1200,1211745658.04569,-1.50833634537475,1.39011864157491
"76433",570623.00127969,7897407.07417828,2010-03-11 15:00:00,-21.3284051854862,-33.9131271345541,40.062464474876,1200,1210416131.62559,-2.1322045092505,-0.623868163875754
"76434",570601.672874504,7897373.16105114,2010-03-11 15:20:00,-80.7931356889894,-102.125827116892,130.219873056184,1200,1210722958.81531,-2.24009522525053,-0.10789071600003
"76435",570520.879738815,7897271.03522403,2010-03-11 15:40:00,-8.88594987546094,-27.8812254611403,29.2629943512987,1200,1212706453.87143,-1.87932620142753,0.360769023823001
"76436",570511.99378894,7897243.15399856,2010-03-11 16:00:00,8.21394912200049,-36.0530169904232,36.9768710722062,1200,1212426192.6967,-1.34679014454369,0.532536056883845
"76437",570520.207738062,7897207.10098157,2010-03-11 16:20:00,-53.4816239166539,-71.161373551935,89.0181171591516,1200,1210828329.48779,-2.2152913345781,-0.868501190034407
"76438",570466.726114145,7897135.93960802,2010-03-11 16:40:00,-57.0532224351773,-109.871852019802,123.80183381719,1200,1212062531.13269,-2.04974129689005,0.165550037688041
"76439",570409.67289171,7897026.067756,2010-03-11 17:00:00,-458.974452251918,-226.989624943584,512.036949498742,1200,1212389969.57594,-2.68230787328493,-0.632566576394871
"76440",569950.698439458,7896799.07813106,2010-03-11 17:20:00,-72.6620463912841,-76.7195158209652,105.667672888033,1200,1234860227.10196,-2.32903938487055,0.353268488414377
"76441",569878.036393067,7896722.35861524,2010-03-11 17:40:00,-55.6080044150585,16.6434054654092,58.0452676840342,1200,1237281156.50183,2.85077934415277,-1.10336657815627
